borough_original,ward_original,election_date,surname,firstname,party,votes,elected,ward,borough,WD22CD,LAD22CD
Barking and Dagenham,Abbey,2022-05-05,Rahman,Regina,Labour Party Candiate,503,True,Abbey,Barking & Dagenham,E05014053,E09000002
Barking and Dagenham,Abbey,2022-05-05,Hussain,Manzoor,Labour Party Candiate,470,True,Abbey,Barking & Dagenham,E05014053,E09000002
Barking and Dagenham,Abbey,2022-05-05,Gold,Michael,Green Party,135,False,Abbey,Barking & Dagenham,E05014053,E09000002
Barking and Dagenham,Abbey,2022-05-05,Echedom,Ada,Local Conservatives,110,False,Abbey,Barking & Dagenham,E05014053,E09000002
Barking and Dagenham,Abbey,2022-05-05,Allam,Annabel,Green Party,148,False,Abbey,Barking & Dagenham,E05014053,E09000002
Barking and Dagenham,Alibon,2022-05-05,Akwaboah,Dorothy,Labour Party Candidate,932,True,Alibon,Barking & Dagenham,E05014054,E09000002
Barking and Dagenham,Alibon,2022-05-05,Dulwich,John,Labour Party Candidate,1060,True,Alibon,Barking & Dagenham,E05014054,E09000002
Barking and Dagenham,Alibon,2022-05-05,Singh Jaiya,Arjun,Local Conservatives,415,False,Alibon,Barking & Dagenham,E05014054,E09000002
Barking and Dagenham,Barking Riverside,2022-05-05,Bhuyan,Mohammad Omar,Local Conservatives,292,False,Barking Riverside,Barking & Dagenham,E05014055,E09000002
Barking and Dagenham,Barking Riverside,2022-05-05,Channer,Josie,Labour Party Candidate,923,True,Barking Riverside,Barking & Dagenham,E05014055,E09000002
Barking and Dagenham,Barking Riverside,2022-05-05,Geddes,Cameron,Labour Party Candidate,893,True,Barking Riverside,Barking & Dagenham,E05014055,E09000002
Barking and Dagenham,Barking Riverside,2022-05-05,Hornby,Victoria,Labour Party Candidate,890,True,Barking Riverside,Barking & Dagenham,E05014055,E09000002
Barking and Dagenham,Barking Riverside,2022-05-05,Mason,Pete,TUSC,233,False,Barking Riverside,Barking & Dagenham,E05014055,E09000002
Barking and Dagenham,Barking Riverside,2022-05-05,Oladimeji,Anthony,Local Conservatives,291,False,Barking Riverside,Barking & Dagenham,E05014055,E09000002
