wd22cd,adj_turnout
E05013628,0.49
E05013629,0.447
E05013630,0.294
E05013631,0.397
E05013632,0.268
E05013633,0.303
E05013634,0.311
E05013635,0.471
E05013636,0.461
E05013637,0.428
E05013638,0.433
E05013639,0.463
E05013640,0.411
E05013641,0.519
E05013642,0.428
E05013643,0.377
E05013644,0.519
E05013645,0.445
E05013646,0.449
E05013647,0.466
E05013648,0.456
E05013649,0.357
E05013650,0.461
E05013651,0.455
E05011217,0.4707
E05011218,0.381
E05011219,0.4944
E05011220,0.5088
E05011221,0.5219
E05011222,0.4305
E05011223,0.5085
E05011224,0.4733
E05011225,0.3424
E05011226,0.474
E05011227,0.53
E05011228,0.4409
E05011230,0.4722
E05011231,0.3479
E05011229,0.5224
E05011232,0.2948
E05011233,0.5279
E05013496,0.4065
E05013497,0.2991890205864005
E05013498,0.38722239764235344
E05013499,0.3273701124799143
E05013500,0.285385500575374
E05013501,0.31138070479491625
E05013502,0.3911296675594769
E05013503,0.3111879268189866
E05013504,0.33262606090863706
E05013505,0.3818527634817633
E05013506,0.37260378316618004
E05013507,0.39875687305761415
E05013508,0.36802788844621515
E05013509,0.293009284543965
E05013510,0.255362754474655
E05013511,0.39093959731543626
E05013512,0.3485380116959064
E05013513,0.3189612934835865
E05013514,0.42603458925262505
E05013515,0.3268407721198358
E05013516,0.22886354699174205
E05013517,0.358277000471624
E05013987,0.5010045808888531
E05013988,0.513119319847552
E05013989,0.5395998579377294
E05013990,0.4709897610921502
E05013991,0.46458222928811166
E05013992,0.5865978224267595
E05013993,0.508544087491456
E05013994,0.5183686176836861
E05013995,0.4167526068522975
E05013996,0.5541195476575121
E05013997,0.5431368251881072
E05013998,0.5680670900504804
E05013999,0.5353942283975993
E05014000,0.39603960396039606
E05014001,0.48263740945888367
E05014002,0.4443097547062179
E05014003,0.5662061471592673
E05014004,0.4547770700636943
E05014005,0.5377592696404261
E05014006,0.4058076754705968
E05014007,0.3683490162532079
E05014008,0.5639418473056499
E05011462,0.4801
E05011463,0.3897
E05011464,0.3277
E05011465,0.3208
E05011466,0.4872
E05011467,0.4683
E05011468,0.311
E05011469,0.4714
E05011470,0.3244
E05011471,0.3623
E05011472,0.3666
E05011473,0.3837
E05011474,0.5276
E05011475,0.471
E05011476,0.4272
E05011477,0.4724
E05011478,0.544
E05011479,0.3012
E05011480,0.4876
E05011481,0.4894
E05011482,0.4403
E05011483,0.4932
E05011484,0.4529
E05011485,0.3667
E05011486,0.3517
E05011487,0.3755
E05011488,0.3369
E05011489,0.3844
E05013518,0.3881
E05013519,0.394
E05013520,0.5011
E05013521,0.4666
E05013522,0.3967
E05013523,0.3709
E05013524,0.4304
E05013525,0.4938
E05013526,0.386
E05013527,0.3754
E05013528,0.4359
E05013529,0.4925
E05013530,0.5707
E05013531,0.3728
E05013532,0.355
E05013533,0.4012
E05013534,0.423
E05013535,0.5048
E05013536,0.3787
E05013537,0.4494
E05013538,0.4202
E05013539,0.4392
E05013540,0.481
E05013541,0.5561
E05013672,0.49
E05013673,0.377
E05013674,0.351
E05013675,0.397
E05013676,0.51
E05013677,0.357
E05013678,0.471
E05013679,0.335
E05013680,0.346
E05013681,0.556
E05013682,0.343
E05013683,0.444
E05013684,0.354
E05013685,0.326
E05013686,0.427
E05013687,0.497
E05013688,0.46
E05013689,0.323
E05013690,0.54
E05013691,0.43
E05013692,0.47
E05013693,0.519
E05013694,0.32
E05013695,0.53
E05013696,0.5
E05013733,0.34299999999999997
E05013734,0.392
E05013735,0.455
E05013736,0.31
E05013737,0.385
E05013738,0.41
E05013739,0.396
E05013740,0.431
E05013741,0.397
E05013742,0.373
E05013743,0.384
E05013744,0.45899999999999996
E05013745,0.413
E05013746,0.466
E05013747,0.35
E05013748,0.38799999999999996
E05013749,0.397
E05013750,0.45399999999999996
E05013751,0.33799999999999997
E05013752,0.38
E05013753,0.381
E05013652,0.3921
E05013653,0.33759999999999996
E05013654,0.3689
E05013655,0.32420000000000004
E05013656,0.37479999999999997
E05013657,0.3906
E05013658,0.3918
E05013659,0.4814
E05013660,0.3799
E05013661,0.5265
E05013662,0.374
E05013663,0.4959
E05013664,0.41259999999999997
E05013665,0.3044
E05013666,0.3193
E05013667,0.3907
E05013668,0.35119999999999996
E05013670,0.3954
E05013669,0.3281
E05013671,0.36460000000000004
E05014072,0.37017681386638795
E05014073,0.5381668946648427
E05014074,0.48011363636363635
E05014075,0.3457700650759219
E05014076,0.4335697852760736
E05014077,0.40485407980941035
E05014078,0.5771061093247588
E05014079,0.5011466837904779
E05014080,0.4162207828780625
E05014081,0.49294628323385786
E05014082,0.34797759800871186
E05014083,0.42010771992818674
E05014084,0.3835781847454216
E05014085,0.40748061426182147
E05014086,0.4627281460134486
E05014087,0.3714050267820354
E05014088,0.4348733516744142
E05014089,0.4338300853394472
E05014090,0.3214013709063214
E05014091,0.30330855560413933
E05014092,0.36864742501414827
E05014093,0.3178544822448473
E05014094,0.3589810581319399
E05009367,0.4501
E05009368,0.4165
E05009369,0.4663
E05009370,0.4055
E05009371,0.4226
E05009372,0.3953
E05009373,0.4367
E05009374,0.3764
E05009375,0.3664
E05009376,0.3996
E05009377,0.3356
E05009378,0.3176
E05009379,0.4289
E05009380,0.4347
E05009381,0.4344
E05009382,0.44
E05009383,0.3803
E05009384,0.4629
E05009385,0.4812
E05009386,0.4233
E05009387,0.3804
E05013605,0.36275007616532956
E05013604,0.3402697898149116
E05013603,0.3941217775102819
E05013602,0.3727315030246626
E05013601,0.40798451980853445
E05013600,0.553072625698324
E05013597,0.4221060492905153
E05013599,0.35182049110922947
E05013598,0.4012654012654013
E05013596,0.3195212826013323
E05013595,0.3555075169499853
E05013594,0.5573670577479811
E05013593,0.5020163097051707
E05013592,0.5068535504483149
E05013591,0.4617577197149644
E05013590,0.468792666276575
E05013589,0.5356877717679499
E05013588,0.5426446440645224
E05013587,0.32717340771734077
E05013586,0.4750074382624219
E05013585,0.6042813455657492
E05013542,0.4466
E05013543,0.45
E05013544,0.41
E05013545,0.41
