wd22cd,official_party_name,party_code,ward,LAD22NM,n
E05013628,Labour Party,LAB,Barnet Vale,Barnet,2
E05013628,Conservative Party,CON,Barnet Vale,Barnet,1
E05013629,Conservative Party,CON,Brunswick Park,Barnet,3
E05013630,Labour Party,LAB,Burnt Oak,Barnet,3
E05013631,Conservative Party,CON,Childs Hill,Barnet,3
E05013632,Labour Party,LAB,Colindale North,Barnet,2
E05013633,Labour Party,LAB,Colindale South,Barnet,3
E05013634,Labour Party,LAB,Cricklewood,Barnet,2
E05013635,Labour Party,LAB,East Barnet,Barnet,2
E05013635,Conservative Party,CON,East Barnet,Barnet,1
E05013636,Labour Party,LAB,East Finchley,Barnet,3
E05013637,Conservative Party,CON,Edgware,Barnet,3
E05013638,Conservative Party,CON,Edgwarebury,Barnet,2
E05013639,Conservative Party,CON,Finchley Church End,Barnet,3
E05013640,Labour Party,LAB,Friern Barnet,Barnet,3
E05013641,Conservative Party,CON,Garden Suburb,Barnet,2
E05013642,Conservative Party,CON,Golders Green,Barnet,2
E05013643,Conservative Party,CON,Hendon,Barnet,3
E05013644,Conservative Party,CON,High Barnet,Barnet,1
E05013644,Labour Party,LAB,High Barnet,Barnet,1
E05013645,Conservative Party,CON,Mill Hill,Barnet,3
E05013646,Conservative Party,CON,Totteridge and Woodside,Barnet,3
E05013647,Labour Party,LAB,Underhill,Barnet,2
E05013648,Labour Party,LAB,West Finchley,Barnet,3
E05013649,Labour Party,LAB,West Hendon,Barnet,3
E05013650,Labour Party,LAB,Whetstone,Barnet,1
E05013650,Conservative Party,CON,Whetstone,Barnet,1
E05013651,Green Party,GRE,Woodhouse,Barnet,1
E05013651,Labour Party,LAB,Woodhouse,Barnet,1
E05011217,Conservative Party,CON,Barnehurst,Bexley,2
E05011218,Labour Party,LAB,Belvedere,Bexley,2
E05011218,Reform UK,RUK,Belvedere,Bexley,1
E05011219,Conservative Party,CON,Bexleyheath,Bexley,3
E05011220,Conservative Party,CON,Blackfen and Lamorbey,Bexley,3
E05011221,Conservative Party,CON,Blendon and Penhill,Bexley,3
E05011222,Reform UK,RUK,Crayford,Bexley,3
E05011223,Conservative Party,CON,Crook Log,Bexley,3
E05011224,Conservative Party,CON,East Wickham,Bexley,3
E05011225,Labour Party,LAB,Erith,Bexley,2
E05011226,Conservative Party,CON,Falconwood and Welling,Bexley,3
E05011227,Conservative Party,CON,Longlands,Bexley,2
E05011228,Reform UK,RUK,Northumberland Heath,Bexley,2
E05011230,Conservative Party,CON,Sidcup,Bexley,3
E05011231,Labour Party,LAB,Slade Green and Northend,Bexley,2
E05011229,Conservative Party,CON,St Mary's and St James,Bexley,2
E05011232,Labour Party,LAB,Thamesmead East,Bexley,3
E05011233,Conservative Party,CON,West Heath,Bexley,2
E05011233,Reform UK,RUK,West Heath,Bexley,1
E05013496,Liberal Democrats,LD,Alperton,Brent,3
E05013497,Labour Party,LAB,Barnhill,Brent,2
E05013498,Labour Party,LAB,Brondesbury Park,Brent,2
E05013499,Labour Party,LAB,Cricklewood and Mapesbury,Brent,2
E05013500,Labour Party,LAB,Dollis Hill,Brent,3
E05013501,Labour Party,LAB,Harlesden and Kensal Green,Brent,2
E05013501,Green Party,GRE,Harlesden and Kensal Green,Brent,1
E05013502,Conservative Party,CON,Kenton,Brent,3
E05013503,Green Party,GRE,Kilburn,Brent,3
E05013504,Labour Party,LAB,Kingsbury,Brent,2
E05013505,Green Party,GRE,Northwick Park,Brent,2
E05013506,Conservative Party,CON,Preston,Brent,2
E05013507,Liberal Democrats,LD,Queens Park,Brent,3
E05013508,Conservative Party,CON,Queensbury,Brent,3
E05013509,Labour Party,LAB,Roundwood,Brent,3
E05013510,Labour Party,LAB,Stonebridge,Brent,3
E05013511,Liberal Democrats,LD,Sudbury,Brent,2
E05013512,Labour Party,LAB,Tokyngton,Brent,1
E05013512,Conservative Party,CON,Tokyngton,Brent,1
E05013513,Labour Party,LAB,Welsh Harp,Brent,2
E05013513,Conservative Party,CON,Welsh Harp,Brent,1
E05013514,Liberal Democrats,LD,Wembley Central,Brent,3
E05013515,Labour Party,LAB,Wembley Hill,Brent,2
E05013515,Conservative Party,CON,Wembley Hill,Brent,1
E05013516,Green Party,GRE,Wembley Park,Brent,2
E05013517,Labour Party,LAB,Willesden Green,Brent,2
E05013517,Green Party,GRE,Willesden Green,Brent,1
E05013987,Liberal Democrats,LD,Beckenham Town and Copers Cope,Bromley,3
E05013988,Conservative Party,CON,Bickley and Sundridge,Bromley,3
E05013989,Reform UK,RUK,Biggin Hill,Bromley,2
E05013990,Conservative Party,CON,Bromley Common and Holwood,Bromley,3
E05013991,Liberal Democrats,LD,Bromley Town,Bromley,3
E05013992,Conservative Party,CON,Chelsfield,Bromley,2
E05013993,Chislehurst Matters,CM,Chislehurst,Bromley,3
E05013994,Labour Party,LAB,Clock House,Bromley,3
E05013995,Labour Party,LAB,Crystal Palace and Anerley,Bromley,2
E05013996,Conservative Party,CON,Darwin,Bromley,1
E05013997,Conservative Party,CON,Farnborough and Crofton,Bromley,3
E05013998,Conservative Party,CON,Hayes and Coney Hall,Bromley,3
E05013999,Conservative Party,CON,Kelsey and Eden Park,Bromley,3
E05014000,Conservative Party,CON,Mottingham,Bromley,1
E05014000,Reform UK,RUK,Mottingham,Bromley,1
E05014001,Conservative Party,CON,Orpington,Bromley,2
E05014002,Labour Party,LAB,Penge and Cator,Bromley,3
E05014003,Conservative Party,CON,Petts Wood and Knoll,Bromley,3
E05014004,Conservative Party,CON,Plaistow,Bromley,2
E05014005,Conservative Party,CON,Shortlands and Park Langley,Bromley,3
E05014006,Conservative Party,CON,St Mary Cray,Bromley,3
E05014007,Reform UK,RUK,St Paul's Cray,Bromley,3
E05014008,Conservative Party,CON,West Wickham,Bromley,3
E05011462,Conservative Party,CON,Addiscombe East,Croydon,1
E05011462,Labour Party,LAB,Addiscombe East,Croydon,1
E05011463,Labour Party,LAB,Addiscombe West,Croydon,3
E05011464,Labour Party,LAB,Bensham Manor,Croydon,3
E05011465,Labour Party,LAB,Broad Green,Croydon,3
E05011466,Conservative Party,CON,Coulsdon Town,Croydon,3
E05011467,Liberal Democrats,LD,Crystal Palace and Upper Norwood,Croydon,1
E05011467,Green Party,GRE,Crystal Palace and Upper Norwood,Croydon,2
E05011468,Green Party,GRE,Fairfield,Croydon,3
E05011469,Conservative Party,CON,Kenley,Croydon,2
E05011470,Labour Party,LAB,New Addington North,Croydon,2
E05011471,Reform UK,RUK,New Addington South,Croydon,2
E05011472,Labour Party,LAB,Norbury and Pollards Hill,Croydon,2
E05011473,Labour Party,LAB,Norbury Park,Croydon,2
E05011474,Conservative Party,CON,Old Coulsdon,Croydon,1
E05011474,Liberal Democrats,LD,Old Coulsdon,Croydon,1
E05011475,Conservative Party,CON,Park Hill and Whitgift,Croydon,1
E05011476,Conservative Party,CON,Purley and Woodcote,Croydon,3
E05011477,Conservative Party,CON,Purley Oaks and Riddlesdown,Croydon,2
E05011478,Conservative Party,CON,Sanderstead,Croydon,3
E05011479,Labour Party,LAB,Selhurst,Croydon,2
E05011480,Conservative Party,CON,Selsdon and Addington Village,Croydon,2
E05011481,Conservative Party,CON,Selsdon Vale and Forestdale,Croydon,2
E05011482,Conservative Party,CON,Shirley North,Croydon,3
E05011483,Conservative Party,CON,Shirley South,Croydon,2
E05011484,Conservative Party,CON,South Croydon,Croydon,3
E05011485,Green Party,GRE,South Norwood,Croydon,2
E05011485,Labour Party,LAB,South Norwood,Croydon,1
E05011486,Labour Party,LAB,Thornton Heath,Croydon,3
E05011487,Labour Party,LAB,Waddon,Croydon,3
E05011488,Labour Party,LAB,West Thornton,Croydon,3
E05011489,Labour Party,LAB,Woodside,Croydon,2
E05011489,Green Party,GRE,Woodside,Croydon,1
E05013518,Labour Party,LAB,Central Greenford,Ealing,3
E05013519,Labour Party,LAB,Dormers Wells,Ealing,3
E05013520,Conservative Party,CON,Ealing Broadway,Ealing,2
E05013520,Liberal Democrats,LD,Ealing Broadway,Ealing,1
E05013521,Liberal Democrats,LD,Ealing Common,Ealing,3
E05013522,Labour Party,LAB,East Acton,Ealing,3
E05013523,Labour Party,LAB,Greenford Broadway,Ealing,3
E05013524,Liberal Democrats,LD,Hanger Hill,Ealing,3
E05013525,Green Party,GRE,Hanwell Broadway,Ealing,3
E05013526,Labour Party,LAB,Lady Margaret,Ealing,3
E05013527,Labour Party,LAB,North Acton,Ealing,2
E05013527,Green Party,GRE,North Acton,Ealing,1
E05013528,Conservative Party,CON,North Greenford,Ealing,3
E05013529,Labour Party,LAB,North Hanwell,Ealing,3
E05013530,Labour Party,LAB,Northfield,Ealing,3
E05013531,Labour Party,LAB,Northolt Mandeville,Ealing,3
E05013532,Labour Party,LAB,Northolt West End,Ealing,3
E05013533,Independent,IND,Norwood Green,Ealing,1
E05013533,Labour Party,LAB,Norwood Green,Ealing,2
