wd22cd,entitled_electors,ballots_polling,ballots_postal,ward,LAD22NM
E05013628,12125,4405,1539,Barnet Vale,Barnet
E05013629,11523,3800,1347,Brunswick Park,Barnet
E05013630,13557,2687,1299,Burnt Oak,Barnet
E05013631,12900,3673,1453,Childs Hill,Barnet
E05013632,7027,1300,584,Colindale North,Barnet
E05013633,12817,2854,1035,Colindale South,Barnet
E05013634,6140,1431,477,Cricklewood,Barnet
E05013635,12397,4242,1598,East Barnet,Barnet
E05013636,11077,3940,1172,East Finchley,Barnet
E05013637,13562,3802,2000,Edgware,Barnet
E05013638,8578,2572,1139,Edgwarebury,Barnet
E05013639,12994,4355,1663,Finchley Church End,Barnet
E05013640,12535,3977,1179,Friern Barnet,Barnet
E05013641,9060,3360,1345,Garden Suburb,Barnet
E05013642,8923,2759,1064,Golders Green,Barnet
E05013643,13651,3731,1416,Hendon,Barnet
E05013644,8908,3518,1107,High Barnet,Barnet
E05013645,12706,3981,1668,Mill Hill,Barnet
E05013646,11296,3644,1429,Totteridge and Woodside,Barnet
E05013647,8780,3003,1085,Underhill,Barnet
E05013648,12577,4170,1562,West Finchley,Barnet
E05013649,11416,2958,1112,West Hendon,Barnet
E05013650,8406,2822,1057,Whetstone,Barnet
E05013651,9320,3184,1054,Woodhouse,Barnet
E05011217,8352,2916,1015,Barnehurst,Bexley
E05011218,11656,3583,858,Belvedere,Bexley
E05011219,12279,4506,1565,Bexleyheath,Bexley
E05011220,12072,5028,1114,Blackfen and Lamorbey,Bexley
E05011221,11618,5024,1039,Blendon and Penhill,Bexley
E05011222,11414,3884,1030,Crayford,Bexley
E05011223,11537,4617,1249,Crook Log,Bexley
E05011224,11596,4275,1213,East Wickham,Bexley
E05011225,8414,2339,542,Erith,Bexley
E05011226,11841,4470,1143,Falconwood and Welling,Bexley
E05011227,7555,3229,775,Longlands,Bexley
E05011228,7730,2620,788,Northumberland Heath,Bexley
E05011230,11481,4402,1019,Sidcup,Bexley
E05011231,9129,2538,638,Slade Green and Northend,Bexley
E05011229,8156,3348,913,St Mary's and St James,Bexley
E05011232,10385,2356,706,Thamesmead East,Bexley
E05011233,11710,4914,1268,West Heath,Bexley
E05013496,11183,3570,976,Alperton,Brent
E05013497,8015,1973,425,Barnhill,Brent
E05013498,9501,3012,667,Brondesbury Park,Brent
E05013499,9335,2535,521,Cricklewood and Mapesbury,Brent
E05013500,13904,3265,707,Dollis Hill,Brent
E05013501,13848,3733,580,Harlesden and Kensal Green,Brent
E05013502,12694,3862,1103,Kenton,Brent
E05013503,11861,3126,565,Kilburn,Brent
E05013504,8012,2121,545,Kingsbury,Brent
E05013505,8938,2775,638,Northwick Park,Brent
E05013506,7877,2356,579,Preston,Brent
E05013507,12549,4268,736,Queens Park,Brent
E05013508,12048,3510,929,Queensbury,Brent
E05013509,10986,2816,400,Roundwood,Brent
E05013510,14638,3170,568,Stonebridge,Brent
E05013511,9536,3032,699,Sudbury,Brent
E05013512,7695,2269,415,Tokyngton,Brent
E05013513,12246,3245,661,Welsh Harp,Brent
E05013514,12952,4548,969,Wembley Central,Brent
E05013515,11449,3065,680,Wembley Hill,Brent
E05013516,7629,1545,201,Wembley Park,Brent
E05013517,12722,3839,713,Willesden Green,Brent
E05013987,12443,4926,1308,Beckenham Town and Copers Cope,Bromley
E05013988,13644,5341,1660,Bickley and Sundridge,Bromley
E05013989,8447,3786,772,Biggin Hill,Bromley
E05013990,14064,5286,1338,Bromley Common and Holwood,Bromley
E05013991,11322,4063,1197,Bromley Town,Bromley
E05013992,8909,4120,1106,Chelsfield,Bromley
E05013993,11704,4450,1502,Chislehurst,Bromley
E05013994,12848,5564,1096,Clock House,Bromley
E05013995,8727,3152,485,Crystal Palace and Anerley,Bromley
E05013996,4333,1967,434,Darwin,Bromley
E05013997,13689,5857,1578,Farnborough and Crofton,Bromley
E05013998,12282,5707,1270,Hayes and Coney Hall,Bromley
E05013999,12163,5099,1413,Kelsey and Eden Park,Bromley
E05014000,8181,2662,578,Mottingham,Bromley
E05014001,9388,3591,940,Orpington,Bromley
E05014002,14024,5296,935,Penge and Cator,Bromley
E05014003,12884,5774,1521,Petts Wood and Knoll,Bromley
E05014004,9420,3547,737,Plaistow,Bromley
E05014005,12487,5377,1338,Shortlands and Park Langley,Bromley
E05014006,13706,4348,1214,St Mary Cray,Bromley
E05014007,11690,3359,947,St Paul's Cray,Bromley
E05014008,11487,5157,1321,West Wickham,Bromley
E05011462,8811,3214,1016,Addiscombe East,Croydon
E05011463,11389,3540,898,Addiscombe West,Croydon
E05011464,11815,3115,757,Bensham Manor,Croydon
E05011465,13849,3492,951,Broad Green,Croydon
E05011466,11514,4126,1484,Coulsdon Town,Croydon
E05011467,12383,4754,1045,Crystal Palace and Upper Norwood,Croydon
E05011468,11758,2986,671,Fairfield,Croydon
E05011469,8235,2861,1021,Kenley,Croydon
E05011470,7438,1820,593,New Addington North,Croydon
E05011471,8165,2256,702,New Addington South,Croydon
E05011472,8750,2613,595,Norbury and Pollards Hill,Croydon
E05011473,8002,2432,638,Norbury Park,Croydon
E05011474,7632,2985,1042,Old Coulsdon,Croydon
E05011475,4352,1536,514,Park Hill and Whitgift,Croydon
E05011476,13595,4069,1739,Purley and Woodcote,Croydon
E05011477,8200,2968,906,Purley Oaks and Riddlesdown,Croydon
E05011478,12113,4821,1769,Sanderstead,Croydon
E05011479,8908,2122,561,Selhurst,Croydon
E05011480,8002,2927,975,Selsdon and Addington Village,Croydon
