borough_original,ward_original,election_date,num_councillors,entitled_electors,valid_ballots,rejected_ballots,ballots_polling,ballots_postal,percentage_pol,rb_official_mark,rb_more_candidates,rb_voter_defined,rb_unmarked_void,rejected_in_part,ward,borough,WD22CD,LAD22CD
Barking and Dagenham,Abbey,2022-05-05,2,2802,746,3,536,210,0.2662,0,1,0,2,7,Abbey,Barking & Dagenham,E05014053,E09000002
Barking and Dagenham,Alibon,2022-05-05,2,6524,1483,16,865,618,0.2273,0,0,0,16,9,Alibon,Barking & Dagenham,E05014054,E09000002
Barking and Dagenham,Barking Riverside,2022-05-05,3,6037,1479,12,1009,470,0.245,0,5,0,7,5,Barking Riverside,Barking & Dagenham,E05014055,E09000002
Barking and Dagenham,Beam,2022-05-05,3,5277,1384,7,824,560,0.2623,0,1,0,6,8,Beam,Barking & Dagenham,E05014056,E09000002
Barking and Dagenham,Becontree,2022-05-05,2,6365,1478,11,892,586,0.2322,0,4,0,7,10,Becontree,Barking & Dagenham,E05014057,E09000002
Barking and Dagenham,Chadwell Heath,2022-05-05,3,8985,2353,20,1555,798,0.262,0,1,0,19,13,Chadwell Heath,Barking & Dagenham,E05014058,E09000002
Barking and Dagenham,Eastbrook & Rush Green,2022-05-05,2,6130,1664,5,929,735,0.2714999999999999,0,2,0,3,3,Eastbrook & Rush Green,Barking & Dagenham,E05014059,E09000002
Barking and Dagenham,Eastbury,2022-05-05,3,10041,2123,16,1199,924,0.2114,0,2,0,14,9,Eastbury,Barking & Dagenham,E05014060,E09000002
Barking and Dagenham,Gascoigne,2022-05-05,3,6448,1563,13,1014,549,0.2423999999999999,0,6,0,7,11,Gascoigne,Barking & Dagenham,E05014061,E09000002
Barking and Dagenham,Goresbrook,2022-05-05,3,8858,1949,28,1236,713,0.22,0,4,0,24,15,Goresbrook,Barking & Dagenham,E05014062,E09000002
Barking and Dagenham,Heath,2022-05-05,2,5901,1365,18,883,482,0.2312999999999999,0,11,0,7,8,Heath,Barking & Dagenham,E05014063,E09000002
Barking and Dagenham,Longbridge,2022-05-05,3,8922,3065,11,2036,1029,0.3435,0,1,0,10,4,Longbridge,Barking & Dagenham,E05014064,E09000002
Barking and Dagenham,Mayesbrook,2022-05-05,3,9594,1977,25,1185,792,0.2061,0,2,0,23,12,Mayesbrook,Barking & Dagenham,E05014065,E09000002
Barking and Dagenham,Northbury,2022-05-05,3,8545,2017,8,1297,720,0.236,0,6,1,1,5,Northbury,Barking & Dagenham,E05014066,E09000002
Barking and Dagenham,Parsloes,2022-05-05,3,9936,2178,16,1343,815,0.2192,0,5,0,11,7,Parsloes,Barking & Dagenham,E05014067,E09000002
Barking and Dagenham,Thames View,2022-05-05,2,3558,1012,1,667,345,0.2844,0,0,0,1,2,Thames View,Barking & Dagenham,E05014068,E09000002
Barking and Dagenham,Valence,2022-05-05,3,9811,2088,20,1253,835,0.2128,0,8,0,12,6,Valence,Barking & Dagenham,E05014069,E09000002
Barking and Dagenham,Village,2022-05-05,3,8429,2208,11,1381,827,0.262,0,3,0,8,9,Village,Barking & Dagenham,E05014070,E09000002
Barking and Dagenham,Whalebone,2022-05-05,3,8830,2402,19,1540,862,0.272,0,5,0,14,12,Whalebone,Barking & Dagenham,E05014071,E09000002
Barnet,Barnet Vale,2022-05-05,3,11968,5075,0,3324,1751,0.424,0,1,0,15,0,Barnet Vale,Barnet,E05013628,E09000003
Barnet,Brunswick Park,2022-05-05,3,11585,4791,0,3199,1592,0.414,0,8,0,14,0,Brunswick Park,Barnet,E05013629,E09000003
Barnet,Burnt Oak,2022-05-05,3,13436,3684,0,2112,1572,0.274,0,9,0,17,0,Burnt Oak,Barnet,E05013630,E09000003
Barnet,Childs Hill,2022-05-05,3,12558,4510,0,2763,1747,0.359,0,7,0,14,0,Childs Hill,Barnet,E05013631,E09000003
Barnet,Colindale North,2022-05-05,2,7289,1827,0,1081,746,0.251,0,8,0,2,0,Colindale North,Barnet,E05013632,E09000003
Barnet,Colindale South,2022-05-05,3,11305,3131,0,1903,1228,0.277,0,8,0,10,0,Colindale South,Barnet,E05013633,E09000003
Barnet,Cricklewood,2022-05-05,2,6154,1885,0,1234,651,0.306,1,1,0,6,0,Cricklewood,Barnet,E05013634,E09000003
Barnet,East Barnet,2022-05-05,3,12351,5261,0,3470,1791,0.427,0,3,0,16,0,East Barnet,Barnet,E05013635,E09000003
Barnet,East Finchley,2022-05-05,3,11025,4813,0,3416,1397,0.437,0,1,1,11,0,East Finchley,Barnet,E05013636,E09000003
Barnet,Edgware,2022-05-05,3,13456,5070,0,2748,2322,0.377,0,3,0,14,0,Edgware,Barnet,E05013637,E09000003
Barnet,Edgwarebury,2022-05-05,2,8279,3610,0,2259,1351,0.436,0,2,0,17,0,Edgwarebury,Barnet,E05013638,E09000003
Barnet,Finchley Church End,2022-05-05,3,12991,5266,0,3287,1979,0.405,0,4,0,18,0,Finchley Church End,Barnet,E05013639,E09000003
Barnet,Friern Barnet,2022-05-05,3,12662,4640,0,3246,1394,0.366,0,3,0,14,0,Friern Barnet,Barnet,E05013640,E09000003
Barnet,Garden Suburb,2022-05-05,2,9015,3848,1,2346,1502,0.427,0,1,0,11,1,Garden Suburb,Barnet,E05013641,E09000003
Barnet,Golders Green,2022-05-05,2,8621,3175,0,1865,1310,0.368,0,3,0,8,0,Golders Green,Barnet,E05013642,E09000003
Barnet,Hendon,2022-05-05,3,13484,4620,0,2850,1770,0.344,0,0,0,8,0,Hendon,Barnet,E05013643,E09000003
Barnet,High Barnet,2022-05-05,2,8754,4054,0,2791,1263,0.463,0,6,0,10,0,High Barnet,Barnet,E05013644,E09000003
Barnet,Mill Hill,2022-05-05,3,12489,4453,0,2620,1833,0.357,3,11,1,11,0,Mill Hill,Barnet,E05013645,E09000003
Barnet,Totteridge and Woodside,2022-05-05,3,10367,4151,0,2512,1639,0.4,0,0,0,10,0,Totteridge & Woodside,Barnet,E05013646,E09000003
Barnet,Underhill,2022-05-05,2,8641,3746,0,2458,1288,0.434,1,5,0,8,0,Underhill,Barnet,E05013647,E09000003
