wd22cd,ward,LAD22NM,LAB,CON,GRE,RUK,LD,REA,IND,ASP
E05013628,Barnet Vale,Barnet,2,1,NA,NA,NA,NA,NA,NA
E05013629,Brunswick Park,Barnet,NA,3,NA,NA,NA,NA,NA,NA
E05013630,Burnt Oak,Barnet,3,NA,NA,NA,NA,NA,NA,NA
E05013631,Childs Hill,Barnet,NA,3,NA,NA,NA,NA,NA,NA
E05013632,Colindale North,Barnet,2,NA,NA,NA,NA,NA,NA,NA
E05013633,Colindale South,Barnet,3,NA,NA,NA,NA,NA,NA,NA
E05013634,Cricklewood,Barnet,2,NA,NA,NA,NA,NA,NA,NA
E05013635,East Barnet,Barnet,2,1,NA,NA,NA,NA,NA,NA
E05013636,East Finchley,Barnet,3,NA,NA,NA,NA,NA,NA,NA
E05013637,Edgware,Barnet,NA,3,NA,NA,NA,NA,NA,NA
E05013638,Edgwarebury,Barnet,NA,2,NA,NA,NA,NA,NA,NA
E05013639,Finchley Church End,Barnet,NA,3,NA,NA,NA,NA,NA,NA
E05013640,Friern Barnet,Barnet,3,NA,NA,NA,NA,NA,NA,NA
E05013641,Garden Suburb,Barnet,NA,2,NA,NA,NA,NA,NA,NA
E05013642,Golders Green,Barnet,NA,2,NA,NA,NA,NA,NA,NA
E05013643,Hendon,Barnet,NA,3,NA,NA,NA,NA,NA,NA
E05013644,High Barnet,Barnet,1,1,NA,NA,NA,NA,NA,NA
E05013645,Mill Hill,Barnet,NA,3,NA,NA,NA,NA,NA,NA
E05013646,Totteridge and Woodside,Barnet,NA,3,NA,NA,NA,NA,NA,NA
E05013647,Underhill,Barnet,2,NA,NA,NA,NA,NA,NA,NA
E05013648,West Finchley,Barnet,3,NA,NA,NA,NA,NA,NA,NA
E05013649,West Hendon,Barnet,3,NA,NA,NA,NA,NA,NA,NA
E05013650,Whetstone,Barnet,1,1,NA,NA,NA,NA,NA,NA
E05013651,Woodhouse,Barnet,1,NA,1,NA,NA,NA,NA,NA
E05011217,Barnehurst,Bexley,NA,2,NA,NA,NA,NA,NA,NA
E05011218,Belvedere,Bexley,2,NA,NA,1,NA,NA,NA,NA
E05011219,Bexleyheath,Bexley,NA,3,NA,NA,NA,NA,NA,NA
E05011220,Blackfen and Lamorbey,Bexley,NA,3,NA,NA,NA,NA,NA,NA
E05011221,Blendon and Penhill,Bexley,NA,3,NA,NA,NA,NA,NA,NA
E05011222,Crayford,Bexley,NA,NA,NA,3,NA,NA,NA,NA
E05011223,Crook Log,Bexley,NA,3,NA,NA,NA,NA,NA,NA
E05011224,East Wickham,Bexley,NA,3,NA,NA,NA,NA,NA,NA
E05011225,Erith,Bexley,2,NA,NA,NA,NA,NA,NA,NA
E05011226,Falconwood and Welling,Bexley,NA,3,NA,NA,NA,NA,NA,NA
E05011227,Longlands,Bexley,NA,2,NA,NA,NA,NA,NA,NA
E05011228,Northumberland Heath,Bexley,NA,NA,NA,2,NA,NA,NA,NA
E05011230,Sidcup,Bexley,NA,3,NA,NA,NA,NA,NA,NA
E05011231,Slade Green and Northend,Bexley,2,NA,NA,NA,NA,NA,NA,NA
E05011229,St Mary's and St James,Bexley,NA,2,NA,NA,NA,NA,NA,NA
E05011232,Thamesmead East,Bexley,3,NA,NA,NA,NA,NA,NA,NA
E05011233,West Heath,Bexley,NA,2,NA,1,NA,NA,NA,NA
E05013496,Alperton,Brent,NA,NA,NA,NA,3,NA,NA,NA
E05013497,Barnhill,Brent,2,NA,NA,NA,NA,NA,NA,NA
E05013498,Brondesbury Park,Brent,2,NA,NA,NA,NA,NA,NA,NA
E05013499,Cricklewood and Mapesbury,Brent,2,NA,NA,NA,NA,NA,NA,NA
E05013500,Dollis Hill,Brent,3,NA,NA,NA,NA,NA,NA,NA
E05013501,Harlesden and Kensal Green,Brent,2,NA,1,NA,NA,NA,NA,NA
E05013502,Kenton,Brent,NA,3,NA,NA,NA,NA,NA,NA
E05013503,Kilburn,Brent,NA,NA,3,NA,NA,NA,NA,NA
E05013504,Kingsbury,Brent,2,NA,NA,NA,NA,NA,NA,NA
E05013505,Northwick Park,Brent,NA,NA,2,NA,NA,NA,NA,NA
E05013506,Preston,Brent,NA,2,NA,NA,NA,NA,NA,NA
E05013507,Queens Park,Brent,NA,NA,NA,NA,3,NA,NA,NA
E05013508,Queensbury,Brent,NA,3,NA,NA,NA,NA,NA,NA
E05013509,Roundwood,Brent,3,NA,NA,NA,NA,NA,NA,NA
E05013510,Stonebridge,Brent,3,NA,NA,NA,NA,NA,NA,NA
E05013511,Sudbury,Brent,NA,NA,NA,NA,2,NA,NA,NA
E05013512,Tokyngton,Brent,1,1,NA,NA,NA,NA,NA,NA
E05013513,Welsh Harp,Brent,2,1,NA,NA,NA,NA,NA,NA
E05013514,Wembley Central,Brent,NA,NA,NA,NA,3,NA,NA,NA
E05013515,Wembley Hill,Brent,2,1,NA,NA,NA,NA,NA,NA
E05013516,Wembley Park,Brent,NA,NA,2,NA,NA,NA,NA,NA
E05013517,Willesden Green,Brent,2,NA,1,NA,NA,NA,NA,NA
E05013987,Beckenham Town and Copers Cope,Bromley,NA,NA,NA,NA,3,NA,NA,NA
