LAD22CD,LAD22NM,party,party_code
E09000002,Barking and Dagenham,Labour Party,LAB
E09000003,Barnet,No Overall Control,NOC
E09000004,Bexley,Conservative Party,CON
E09000005,Brent,No Overall Control,NOC
E09000006,Bromley,Conservative Party,CON
E09000007,Camden,Labour Party,LAB
E09000008,Croydon,No Overall Control,NOC
E09000009,Ealing,Labour Party,LAB
E09000010,Enfield,No Overall Control,NOC
E09000011,Greenwich,Labour Party,LAB
E09000012,Hackney,Green Party,GRE
E09000013,Hammersmith and Fulham,Labour Party,LAB
E09000014,Haringey,No Overall Control,NOC
E09000015,Harrow,Conservative Party,CON
E09000016,Havering,Reform UK,RUK
E09000017,Hillingdon,Conservative Party,CON
E09000018,Hounslow,Labour Party,LAB
E09000019,Islington,Labour Party,LAB
E09000020,Kensington and Chelsea,Conservative Party,CON
E09000021,Kingston upon Thames,Liberal Democrats,LD
E09000022,Lambeth,No Overall Control,NOC
E09000023,Lewisham,Green Party,GRE
E09000024,Merton,Labour Party,LAB
E09000025,Newham,No Overall Control,NOC
E09000026,Redbridge,Labour Party,LAB
E09000027,Richmond upon Thames,Liberal Democrats,LD
E09000028,Southwark,No Overall Control,NOC
E09000029,Sutton,Liberal Democrats,LD
E09000030,Tower Hamlets,Aspire,ASP
E09000031,Waltham Forest,Green Party,GRE
E09000032,Wandsworth,No Overall Control,NOC
E09000033,Westminster,Conservative Party,CON
