wd22cd,borough,party_code,num_candidates,perc_26,perc_22
E05013628,Barnet,CON,3,0.32268425580728416,0.374467559725909
E05013629,Barnet,CON,3,0.3151713515594917,0.3730932061017405
E05013630,Barnet,CON,3,0.14709982679227748,0.2295890902565943
E05013631,Barnet,CON,3,0.4175754501648491,0.35841185355678634
E05013632,Barnet,CON,2,0.1743119266055046,0.19096169743731056
E05013633,Barnet,CON,3,0.2547979127973822,0.2613236814891417
E05013634,Barnet,CON,2,0.11494565217391305,0.20209698558322411
E05013635,Barnet,CON,3,0.29827678095576476,0.3824510338972773
E05013636,Barnet,CON,3,0.1384515289525049,0.1279414672730868
E05013637,Barnet,CON,3,0.5235190147670905,0.5446445031647514
E05013638,Barnet,CON,2,0.5773065580676872,0.4752037574250587
E05013639,Barnet,CON,3,0.46772486772486777,0.41021213616181545
E05013640,Barnet,CON,3,0.17662252738270395,0.21662087912087913
E05013641,Barnet,CON,2,0.5688191683678951,0.4611905635007945
E05013642,Barnet,CON,2,0.658321060382916,0.6578786955196586
E05013643,Barnet,CON,3,0.5375,0.5018126689077845
E05013644,Barnet,CON,2,0.3242585214696769,0.352654129969055
E05013645,Barnet,CON,3,0.39281430444363863,0.3987691446954333
E05013646,Barnet,CON,3,0.4868438363373241,0.4467435802009676
E05013647,Barnet,CON,2,0.17353380006886263,0.30051413881748074
E05013648,Barnet,CON,3,0.2279027902790279,0.18262672559611504
E05013649,Barnet,CON,3,0.19551308683007895,0.24508189617817833
E05013650,Barnet,CON,2,0.339172813487882,0.37349908179121344
E05013651,Barnet,CON,2,0.19518362432269717,0.26315049226441634
E05011217,Bexley,CON,2,0.36687992125984253,0.5867633726201269
E05011218,Bexley,CON,3,0.16475487689048002,0.31422889170131985
E05011219,Bexley,CON,3,0.38047395435186193,0.5197473616885194
E05011220,Bexley,CON,3,0.33239572063949996,0.4908567426659404
E05011221,Bexley,CON,3,0.4101082273825785,0.5344215155615697
E05011222,Bexley,CON,3,0.2791594130813231,0.5366307541625858
E05011223,Bexley,CON,3,0.3538088829071332,0.5035373731159644
E05011224,Bexley,CON,3,0.3610538373424972,0.43855478963632044
E05011225,Bexley,CON,2,0.13099452848406823,0.30915411355735806
E05011226,Bexley,CON,3,0.3673983763664605,0.46970193252538484
E05011227,Bexley,CON,2,0.4706854889991098,0.5103831006086645
E05011228,Bexley,CON,2,0.19025589128234785,0.418346957311535
