wd22cd,borough,party_code,num_candidates,perc_26,perc_22
E05013628,Barnet,LAB,3,0.3325494694579868,0.37545527501697634
E05013629,Barnet,LAB,3,0.29245283018867924,0.4654929104226867
E05013630,Barnet,LAB,3,0.3409234928815851,0.6304503857886238
E05013631,Barnet,LAB,3,0.24651280750697435,0.4201251528447098
E05013632,Barnet,LAB,2,0.37815366972477066,0.6222099751997796
E05013633,Barnet,LAB,3,0.3485451490227293,0.6031023784901758
E05013634,Barnet,LAB,2,0.4081521739130435,0.6351245085190039
E05013635,Barnet,LAB,3,0.32148990347604667,0.44891152749984836
E05013636,Barnet,LAB,3,0.4549121665582303,0.5944235712873245
E05013637,Barnet,LAB,3,0.12988197730771425,0.2778221594051496
E05013638,Barnet,LAB,2,0.13705940176941442,0.44633236634894324
E05013639,Barnet,LAB,3,0.1947646895015316,0.24845831277750366
E05013640,Barnet,LAB,3,0.3488638221350335,0.5967719780219781
E05013641,Barnet,LAB,2,0.14247340711292575,0.23591248013690258
E05013642,Barnet,LAB,2,0.10737715892355068,0.19247180737580005
E05013643,Barnet,LAB,3,0.12544416243654824,0.24876408938105596
E05013644,Barnet,LAB,2,0.316290393979637,0.4873839562009045
E05013645,Barnet,LAB,3,0.14282127813886022,0.30547590740611236
E05013646,Barnet,LAB,3,0.19221155111169583,0.2998139188686267
E05013647,Barnet,LAB,2,0.27097440605991047,0.5235218508997429
E05013648,Barnet,LAB,3,0.3712571257125713,0.4688165002455394
E05013649,Barnet,LAB,3,0.32339011217282926,0.472571280006933
E05013650,Barnet,LAB,2,0.32824025289778713,0.4976691623110609
E05013651,Barnet,LAB,2,0.29247441300421434,0.5368495077355837
E05011217,Bexley,LAB,2,0.16277066929133857,0.4132366273798731
E05011218,Bexley,LAB,3,0.3045225396361511,0.5412222021334298
E05011219,Bexley,LAB,3,0.14748280004368242,0.3756795650783499
E05011220,Bexley,LAB,3,0.09558841206875826,0.30768033616061014
E05011221,Bexley,LAB,3,0.10155511190501208,0.2971075778078484
E05011222,Bexley,LAB,3,0.18676946033325045,0.46336924583741435
E05011223,Bexley,LAB,3,0.1552086137281292,0.3531990156874808
E05011224,Bexley,LAB,3,0.15990836197021763,0.3810316139767055
E05011225,Bexley,LAB,2,0.35918892822658516,0.690845886442642
E05011226,Bexley,LAB,3,0.1389173822572609,0.3379462823452342
E05011227,Bexley,LAB,2,0.12399847386493705,0.3657357679914071
E05011228,Bexley,LAB,2,0.278010698279601,0.49155313351498636
E05011230,Bexley,LAB,3,0.1101516919486581,0.30664679059978955
E05011231,Bexley,LAB,2,0.32247851650836723,0.6243264049268669
E05011229,Bexley,LAB,2,0.08735521235521236,0.30423898531375165
E05011232,Bexley,LAB,3,0.4048382395802973,0.6962165147749241
E05011233,Bexley,LAB,3,0.17404649290530344,0.42038585741492085
E05013496,Brent,LAB,3,0.18162806908837423,0.4234837216988927
E05013497,Brent,LAB,2,0.2644846513519008,0.5725272377697074
E05013498,Brent,LAB,2,0.48871750928306196,0.5092985318107667
E05013499,Brent,LAB,2,0.4165252799457075,0.528540158275804
E05013500,Brent,LAB,3,0.4088789237668161,0.5868139454608216
E05013501,Brent,LAB,3,0.38519108280254777,0.5643312101910828
E05013502,Brent,LAB,3,0.13047711781888996,0.3664863262432372
E05013503,Brent,LAB,3,0.3333961908353762,0.5767918088737202
E05013504,Brent,LAB,2,0.33717522953701895,0.5361494719740049
E05013505,Brent,LAB,2,0.23776984003727286,0.5648082386363636
E05013506,Brent,LAB,2,0.24011789181692095,0.5291584424905795
E05013507,Brent,LAB,3,0.26648538409245415,0.5453359926357778
E05013508,Brent,LAB,3,0.20128748626157952,0.4347101932045303
E05013509,Brent,LAB,3,0.4498592159410873,0.7036556603773585
E05013510,Brent,LAB,3,0.36659108087679515,0.7020218760357971
E05013511,Brent,LAB,2,0.19938820912124583,0.45020842982862436
E05013512,Brent,LAB,2,0.3401044689495067,0.5766511815794789
E05013513,Brent,LAB,3,0.2618149934239369,0.5121716539978832
E05013514,Brent,LAB,3,0.18109137055837565,0.6028374415471189
E05013515,Brent,LAB,3,0.3436272270443125,0.45647689768976896
E05013516,Brent,LAB,2,0.2699167657550535,0.6320506062203479
E05013517,Brent,LAB,3,0.3588747280074604,0.546341076666931
E05013987,Bromley,LAB,3,0.12097476066144475,0.2493961726636527
E05013988,Bromley,LAB,3,0.09637734014101629,0.2159845466618375
E05013989,Bromley,LAB,2,0.04555096572513118,0.08858075040783034
E05013990,Bromley,LAB,3,0.10696619950535861,0.2727715877437326
E05013991,Bromley,LAB,3,0.0875871513944223,0.15542933018589555
E05013992,Bromley,LAB,2,0.03944884862212156,0.14456359440749286
E05013993,Bromley,LAB,3,0.05695770804911323,0.09530103300754757
E05013994,Bromley,LAB,3,0.4641033496732026,0.6589436481445121
E05013995,Bromley,LAB,2,0.4826662908680947,0.6078251285819251
E05013996,Bromley,LAB,1,0.037129745515227366,0.09969230769230769
E05013997,Bromley,LAB,3,0.08484008671747537,0.1881316098707403
E05013998,Bromley,LAB,3,0.09933744985802496,0.23849266565503285
E05013999,Bromley,LAB,3,0.26773991872460146,0.38195720902874786
E05014000,Bromley,LAB,2,0.2090404440919905,0.3437245313773431
