wd22cd,borough,party_code,num_candidates,perc_26,perc_22
E05013628,Barnet,GRE,3,0.12985374247203899,0.13556392369899375
E05013629,Barnet,GRE,3,0.1747529200359389,0.10563806195820175
E05013630,Barnet,GRE,3,0.1907819694985425,0.13996052395478198
E05013631,Barnet,GRE,3,0.13606391072787216,0.09731712580018702
E05013632,Barnet,GRE,2,0.22878440366972477,0.09479195370625516
E05013633,Barnet,GRE,3,0.20049526841779428,0.13557394002068252
E05013634,Barnet,GRE,2,0.23994565217391303,0.10065530799475754
E05013635,Barnet,GRE,3,0.15011547344110854,0.11424413316354375
E05013636,Barnet,GRE,3,0.2056603773584906,0.11706545382637927
E05013637,Barnet,GRE,3,0.1106676549404185,0.09402077060161002
E05013638,Barnet,GRE,2,0.12554416514534475,0.07846387622599807
E05013639,Barnet,GRE,3,0.12241715399610135,0.08584114454859397
E05013640,Barnet,GRE,3,0.2817067189798921,0.11332417582417584
E05013641,Barnet,GRE,2,0.07456752981626733,0.09020902090209021
E05013642,Barnet,GRE,2,0.07765430445842816,0.06248095092959464
E05013643,Barnet,GRE,3,0.10571065989847717,0.08483290488431877
E05013644,Barnet,GRE,2,0.11885790172642763,0.08545584384670317
E05013645,Barnet,GRE,3,0.11302965215208235,0.09252395272396671
E05013646,Barnet,GRE,3,0.13570582818050256,0.10160029772981018
E05013647,Barnet,GRE,2,0.11729599449099047,0.08534704370179949
E05013648,Barnet,GRE,3,0.21422142214221424,0.10427238500572925
E05013649,Barnet,GRE,3,0.2018280016618197,0.11335471011352803
E05013650,Barnet,GRE,2,0.13342992623814542,0.12883175589772566
E05013651,Barnet,GRE,2,0.3040337146297411,0.1111111111111111
E05011217,Bexley,GRE,1,0.11220472440944881,NA
E05011218,Bexley,GRE,2,0.171293928545335,0.1445489061652504
E05011219,Bexley,GRE,2,0.11261876160314513,NA
E05011220,Bexley,GRE,1,0.11727371078254598,NA
E05011221,Bexley,GRE,1,0.11489965325207523,NA
E05011222,Bexley,GRE,1,0.13578711763242976,NA
E05011223,Bexley,GRE,1,0.1300134589502019,NA
E05011224,Bexley,GRE,1,0.12783505154639174,NA
E05011225,Bexley,GRE,1,0.18699710331509495,NA
E05011226,Bexley,GRE,2,0.12449810966853256,0.1321650835244022
E05011227,Bexley,GRE,2,0.10263258298359405,NA
E05011228,Bexley,GRE,1,0.11681364753505855,NA
E05011230,Bexley,GRE,3,0.11382730455075846,NA
E05011231,Bexley,GRE,1,0.16674204733906225,NA
E05011229,Bexley,GRE,2,0.09628378378378379,NA
E05011232,Bexley,GRE,1,0.2171378606820169,NA
E05011233,Bexley,GRE,1,0.1200060380396498,NA
E05013496,Brent,GRE,3,0.10030206800402756,NA
E05013497,Brent,GRE,2,0.21081520634275258,0.12048707541123692
E05013498,Brent,GRE,2,0.2676378177663525,0.1569331158238173
E05013499,Brent,GRE,2,0.27163216830675263,0.14716282202390976
E05013500,Brent,GRE,3,0.22394618834080718,0.1131342768381084
E05013501,Brent,GRE,3,0.35684713375796173,0.18012738853503185
E05013502,Brent,GRE,3,0.13461538461538464,0.08537760320166012
E05013503,Brent,GRE,3,0.40882519328681877,0.19311717861205915
E05013504,Brent,GRE,2,0.20824379761672202,0.09788789601949635
E05013505,Brent,GRE,2,0.3365429414505358,NA
E05013506,Brent,GRE,2,0.2421983356449376,0.06854476942400861
E05013507,Brent,GRE,3,0.20407885791978247,0.1914697760049095
E05013508,Brent,GRE,3,0.13636363636363635,NA
E05013509,Brent,GRE,3,0.3110244747671648,0.16485849056603774
E05013510,Brent,GRE,3,0.22732426303854875,0.1554524361948956
E05013511,Brent,GRE,2,0.10831479421579533,NA
E05013512,Brent,GRE,2,0.1685045463339137,0.12361139163805292
E05013513,Brent,GRE,3,0.19570363875493202,0.11690560954488599
E05013514,Brent,GRE,3,0.08889593908629442,NA
E05013515,Brent,GRE,3,0.15879396984924624,0.08477722772277228
E05013516,Brent,GRE,2,0.3320451843043995,NA
E05013517,Brent,GRE,3,0.3506372396642835,0.19931816379925474
E05013987,Bromley,GRE,3,0.1309834638816362,0.10125719947977953
E05013988,Bromley,GRE,3,0.12326768781911014,0.14107207533502356
E05013989,Bromley,GRE,2,0.06665178073015518,NA
E05013990,Bromley,GRE,3,0.14741343775762572,0.15438718662952644
E05013991,Bromley,GRE,2,0.1451070717131474,0.11330776040129831
E05013992,Bromley,GRE,1,0.0771989429973575,0.12678159359305008
E05013994,Bromley,GRE,3,0.20026552287581698,NA
E05013995,Bromley,GRE,2,0.34498308906426156,0.20132255694342396
E05013996,Bromley,GRE,1,0.0592407175636212,0.05476923076923077
E05013997,Bromley,GRE,2,0.10050734193058133,0.11792009400705053
E05013998,Bromley,GRE,1,0.15860639112994096,0.18702579666160848
E05013999,Bromley,GRE,3,0.12769615504845264,NA
E05014000,Bromley,GRE,2,0.14972244250594766,0.10513447432762836
E05014001,Bromley,GRE,1,0.115363764501789,NA
E05014002,Bromley,GRE,3,0.3222307439465323,0.23545037430572327
E05014003,Bromley,GRE,1,0.11428571428571428,NA
E05014004,Bromley,GRE,2,0.13087361220141303,0.08710033076074973
E05014005,Bromley,GRE,3,0.14014731106850972,NA
E05014006,Bromley,GRE,3,0.12688652878703185,NA
E05014007,Bromley,GRE,1,0.14479537366548043,NA
E05014008,Bromley,GRE,3,0.12180570221752904,0.15494483178772084
