LAD22NM,electors,total_voting,polls,postal
Barking and Dagenham,151480,51395,39259,12136
Barnet,262275,110552,80168,30384
Bexley,176925,80924,64049,16875
Brent,239618,81912,67635,14277
Bromley,247842,123119,98429,24690
Camden,153633,58948,42149,16799
Croydon,286933,117615,90529,27086
Ealing,250275,108967,67175,41792
Enfield,217468,98566,72574,25992
Greenwich,194093,80789,59423,21366
Hackney,185903,76334,59708,16626
Hammersmith and Fulham,126545,49825,38301,11524
Haringey,183211,80255,65074,15181
Harrow,186428,78415,50017,28398
Havering,191431,87760,67943,19817
Hillingdon,208452,85814,65573,20241
Hounslow,201962,82503,64275,18228
Islington,139682,61802,48808,12994
Kensington and Chelsea,94854,35344,25401,9943
Kingston upon Thames,120986,58474,39457,19017
Lambeth,226006,89065,73237,15828
Lewisham,207948,93632,76767,16865
Merton,155577,70312,54905,15407
Newham,242828,84742,72304,12438
Redbridge,217916,90937,73273,17664
Richmond upon Thames,141190,71282,53979,17303
Southwark,227647,91542,66314,25228
Sutton,157480,73670,56029,17641
Tower Hamlets,219030,92780,79310,13470
Waltham Forest,195697,81960,69121,12839
Wandsworth,230319,111020,83932,27088
Westminster,130603,47322,36201,11121
